;date;lhs_belligerents;lhs_leaders;loc;outcome;rhs_leaders;lhs_casualties;lhs_strengths;rhs_casualties;rhs_strengths;rhs_belligerents
Battle of the Granicus;May, 334 BC;Macedonia (ancient kingdom)	League of Corinth;Alexander the Great	Parmenion	Cleitus the Black	Hephaestion	Calas (general)	Hegelochus of Macedon	Ptolemy (son of Philip);Granicus River, Troad region, Hellespontine Phrygia, Achaemenid Empire (modern-day Biga Çayı, Turkey)40°13′41″N 27°14′32″E﻿ / ﻿40.228056°N 27.242222°ECoordinates: 40°13′41″N 27°14′32″E﻿ / ﻿40.228056°N 27.242222°E;Macedonian victory;Wikimedia Error	Wikimedia Error	Wikimedia Error	Wikimedia Error	Spithridates	Mithrobuzanes	Arbupales	Mithridates (Persian general)	Wikimedia Error	Wikimedia Error	Arsites	Wikimedia Error	Wikimedia Error;300 to 400 killed[4]	1,150–1,380 to 3,500–4,200  wounded[4];32,000 infantry (12,000 Macedonians, 5,000 mercenaries, 7,000 Greeks, 7,000 Odrysians, Triballians and Illyrians, and 1,000 archers)	5,100 cavalry (1,800 Macedonians, 1,800 Thessalians, 600 other Greeks, and 900 Thracians and Paeonians)	Total: 37,100;3,000 infantry killed[5]	1,000 cavalry killed[5]	2,000 captured[5];10,000–20,000 cavalry[1][2]	5,000–20,000 Greek hoplite mercenaries[1][2]	Total: 20,000–30,000[3] (modern estimate);Achaemenid Empire
Siege of Halicarnassus;334 BC;Macedonia (ancient kingdom)	League of Corinth;Alexander the Great	Hephaestion;Halicarnassus, now BodrumCoordinates: 37°02′00″N 27°26′00″E﻿ / ﻿37.0333°N 27.4333°E;Macedonian victory Alexander cripples Persian naval supremacy;Orontobates	Memnon of Rhodes;;;;;Achaemenid Empire
Battle of Issus;November 5, 333 BC;Macedonia (ancient kingdom)	League of Corinth;Alexander the Great	Parmenion	Craterus	Hephaestion	Ptolemy I Soter	Pantordanus	Sitalces II	Wikimedia Error	Wikimedia Error;Issus, Achaemenid Empire (modern-day Turkey)Coordinates: 36°45′09″N 36°11′32″E﻿ / ﻿36.7525°N 36.1923°E;Decisive Macedonian victory;Darius III	Wikimedia Error	Rheomithres	Wikimedia Error	Wikimedia Error	Wikimedia Error;452 killed	5,000 wounded[6][7];13,000 peltasts,[1]	22,000 heavy infantry,[2]	5,850 cavalry[2]	Total: 40,850;~20,000-40,000 casualties[7];30,000–80,000 light infantry (Babylonian spears, Ionian peltasts)[3]	11,000 cavalry[2]	10,000 Persian Immortals	10,000 Greek mercenaries[4]	Total: 50,000–60,000[5] (modern sources)	250,000–600,000 (ancient sources);Achaemenid Empire
Siege of Tyre (332 BC);January–July 332 BC;Macedonia (ancient kingdom)	League of Corinth;Alexander the Great	Hephaestion;Tyre, Phoenicia (now Lebanon)33°16′15″N 35°11′46″E﻿ / ﻿33.27083°N 35.19611°ECoordinates: 33°16′15″N 35°11′46″E﻿ / ﻿33.27083°N 35.19611°E;Macedonian victory[1][2][3][4][5][6][7][8][9];Azemilcus, King of Tyre;400 killed[10];;6,000–7,000 killed in action	2,000 executed[11]	13,000–30,000 civilians enslaved[12];;Tyre, Lebanon	Achaemenid Empire
Siege of Gaza;October 332 BC;Macedonia (ancient kingdom)	League of Corinth;Alexander the Great	Hephaestion;GazaCoordinates: 31°31′N 34°27′E﻿ / ﻿31.517°N 34.450°E;Greek victory;Batis (commander);Fewer than the Egyptians;45,000;11,000[1];15,000 [1];Achaemenid Empire
Battle of Megalopolis;331 BC;Macedonia (ancient kingdom);Antipater;Megalopolis37°24′04″N 22°08′32″E﻿ / ﻿37.4011°N 22.1422°ECoordinates: 37°24′04″N 22°08′32″E﻿ / ﻿37.4011°N 22.1422°E;Macedonian victory;Agis III;1,000-3,500;40,000;5,300;20,000 Infantry	2,000 cavalry;Sparta
Battle of Gaugamela;October 1, 331 BC;Macedonia (ancient kingdom)	League of Corinth;Alexander the Great	Hephaestion	Craterus	Parmenion	Ptolemy I Soter	Perdiccas	Antigonus I Monophthalmus	Cleitus the Black	Nearchus	Seleucus I Nicator	Wikimedia Error	Wikimedia Error	Coenus (general)	Wikimedia Error	Glaucias of Macedon	Wikimedia Error;Probably Tel Gomel (Gaugamela) near Erbil, modern Iraqi Kurdistan36°33′36″N 43°26′38″E﻿ / ﻿36.56°N 43.444°ECoordinates: 36°33′36″N 43°26′38″E﻿ / ﻿36.56°N 43.444°E;Decisive Macedonian victory;Darius III	Bessus	Mazaeus	Wikimedia Error	Atropates	Ariarathes I of Cappadocia;"100 infantry and 1,000 cavalry	(according to Arrian);	300 infantry	(according to Curtius Rufus);	500 infantry	(according to Diodorus Siculus)";47,000[1]	(See Size of Macedonian army);40,000	(according to Curtius Rufus)	47,000	(according to Welman)[3]	90,000	(according to Diodorus Siculus)	300,000+ captured	(according to Arrian)[4];50,000–100,000[2]	(modern estimates)	250,000–1,000,000 (ancient sources)	(See Size of Persian army);Achaemenid Empire
Battle of the Persian Gate;20 January, 330 BC;Macedonia (ancient kingdom)	League of Corinth;Alexander the Great	Craterus	Ptolemy I Soter;Persian Gate, near Persepolis;Decisive Macedonian victory Fall of the Achaemenid Empire Eventual sacking and razing of Persepolis Decline of Persepolis;Wikimedia Error;Moderate-Heavy;17,000 picked fighters[1][2]	More than 14,000;Entire force;700[3][4][5];Achaemenid Empire
Battle of the Hydaspes;May 326 BC;Macedonia (ancient kingdom)	League of Corinth	Achaemenid Empire	History of India;Alexander the Great	Craterus	Coenus (general)	Hephaestion	Ptolemy I Soter	Perdiccas	Seleucus I Nicator	Lysimachus	Demonicus of Pella	Peucestas	Taxiles;Hydaspes River, modern-day Punjab Province, Pakistan32°49′40″N 73°38′20″E﻿ / ﻿32.82778°N 73.63889°ECoordinates: 32°49′40″N 73°38′20″E﻿ / ﻿32.82778°N 73.63889°E;Macedonian victory Annexation of Punjab Porus appointed plenipotentiary Satrap of the new provinces.[1][2][3][4];Porus;80[15] –700[16][17] infantry,	230[15]–280[16] cavalry killed. Modern estimates ≈1000 killed.[18];40,000 infantry,	5,000[6] to 7,000[7] cavalry,	Asiatic contingents[8];12,000 killed and 9,000 captured,[19] or 20,000 infantry and 3,000 cavalry killed.[15];"20,000,[9] 30,000[10] or 50,000[11] infantry,	2,000[9] to 4,000[10] cavalry,	200,[10] 130[11] (""likeliest"" according to Green),[12] or 85[13] war elephants,	1,000 chariots.[14]";Pauravas
Battle of Amorgos;May or June 322 BC;Classical Athens;Euetion;Amorgos, Cyclades, Greece;Macedonian victory;Cleitus the White;;170 warships;;240 warships;Macedonia (ancient kingdom)
Battle of the Echinades (322 BC);spring or summer 322 BC;Classical Athens;Euetion;Echinades islands or off the Malian Gulf;Macedonian victory;Cleitus the White;;;;;Macedonia (ancient kingdom)
Battle of Crannon;August 322 BC;Macedonia (ancient kingdom);Antipater	Craterus;Thessaly;Decisive Macedonian victory;Antiphilus (general)	Menon IV of Pharsalus;130 dead;40,000 infantry,	3,000 slingers and archers,	5,000 cavalry;500 dead;25,000 infantry,	3,500 cavalry;Athens	Aetolian League	Ancient Thessaly
Battle of the Caudine Forks;321 BC;Roman Republic;Titus Veturius Calvinus	Spurius Postumius Albinus;Caudine Forks (near Caudium);Roman surrender;Gaius Pontius;None;Unknown;None;Unknown;Samnium
Battle of Orkynia;319 BC;Antigonus I Monophthalmus;Antigonus I Monophthalmus;near Orkynia (in Cappadocia);Antigonid victory;Eumenes;light;10,000 infantry,	2,000 cavalry,	30 elephants;8,000;20,000 infantry,	5,000 cavalry;Eumenes
Battle of Paraitacene;317 BC;Antigonus I Monophthalmus;Antigonus I Monophthalmus;Paraitakene (near modern Isfahan, Persia)Coordinates: 32°38′00″N 51°39′00″E﻿ / ﻿32.6333°N 51.6500°EIsfahan Province, Iran;Indecisive;Eumenes;7,700, inc. 3,700 killed;28,000 heavy infantry,	5,500 light infantry,	6,900 light cavalry,	3,700 heavy cavalry,	65 war elephants;1,540, inc. 540 killed;17,000 heavy infantry,	18,000 light infantry,	6,000 cavalry,	125 war elephants;Eumenes
Battle of the Himera River (311 BC);311 BC;Ancient Carthage;Hamilcar;At the mouth of the Salso river, near modern Licata on Sicily, Italy;Carthaginian victory;Agathocles;500;39,000 infantry,	1,000 Balearic slingers,	5,000 cavalry;7,000;Fewer troops (exact number unknown);Syracuse, Sicily
Battle of the Tigris;311 B.C.;Seleucid Empire;Seleucus I Nicator;south of the river Tigris, close to Babylonia;Seleucid victory;Nicanor (satrap);Light;3400;entire army killed or captured;17000;Antigonid dynasty
Second Siege of Babylon (310 BC);310 B.C.;Antigonid dynasty;Demetrius I of Macedon;Babylon;Seleucid victory;Patrocles (geographer)	Seleucus I Nicator;moderate	6,000 captured;Initially	19,000	At the end	6,000;few;Initially	a few thousands	At the end	20,000;Seleucid Empire
Battle of the River Thatis;310/309 BC;Bosporan Kingdom;Satyros II;Thatis River;Victory of Satyros II;Eumelos of Bosporus	Aripharnes;;2,000 Greek mercenaries	2,000 Thracians	20,000 Scythian infantry	10,000 Scythian cavalry;;20,000 cavalry	22,000 infantry;Siraces
Siege of Syracuse (311–309 BC);311–309BC;Carthage;Hamilcar;Syracuse, Sicily, Italy;Greek victory;Agathocles of Syracuse	Antander;;120,000 infantry	5,000 cavalry	Modern estimate:	30,000–36,000 infantry	4,000–4,500 cavalry;;Counterattack:	3,000 infantry	400 cavalry	Unknown number of extra forces in the city;Syracuse, Sicily
Third Siege of Babylon (309 BC);January-March 309 B.C.;Antigonid dynasty;Antigonus I Monophthalmus;Babylon;Antigonid tactical victory, citadel remains under Seleucid control, Seleucid retreat;Seleucus I Nicator;unknown;75,000;unknown;20,000;Seleucid Empire
Battle of the 25 of Abu;10 August 309 B.C.;Seleucid Empire;Seleucus I Nicator;Road between Babylon and Susa;Decisive Seleucid victory;Antigonus I Monophthalmus;unknown;25,000;unknown but probably heavy;40-50,000;Antigonid dynasty
Siege of Siracena;309 BC;Siraces;Eumelos of Bosporus	Aripharnes;Siracena, Sarmatia;Strategic Siracen Defense/Tactical Bosporan Defeat;Satyros II;Low;Siracen Infantry;High;Thracian peltasts	Greek hoplites	Scythian Infantry;Bosporan Kingdom	Scythians
Battle of Lake Maeotis;309 BC;Siraces;Eumelos of Bosporus	Aripharnes;Sea of Azov, Crimea;Siracen Victory Eumelos becomes King of the Cimmerians;Prytanis of Bosporus;Low;Unknown;High;Unknown;Bosporan Kingdom
Battle of Salamis in Cyprus (306 BC);306 BC;Antigonid dynasty	Classical Athens;Demetrius I of Macedon	Medius of Larissa;Salamis, Cyprus35°10′N 33°55′E﻿ / ﻿35.167°N 33.917°ECoordinates: 35°10′N 33°55′E﻿ / ﻿35.167°N 33.917°E;Decisive Antigonid victory;Ptolemy I Soter	Menelaus (son of Lagus);20 warships damaged;c. 180 warships (30 Athenian);80 warships lost	40 warships and 100 transports captured	Menelaus' force surrenders;60 warships (Menelaus)	140 warships & 200 transports (Ptolemy);Ptolemaic dynasty
Battle of Bovianum;305 BC;Roman Republic;Tiberius Minucius Augurinus	Lucius Postumius Megellus (consul 305 BC);Boiano or Pietrabbondante, Italy;Decisive Roman victory [1];Statius Gellius;;;;;Samnium
Siege of Rhodes (305 BC);305–304 BC;Antigonid dynasty;Demetrius I of Macedon;Rhodes islandCoordinates: 36°10′00″N 28°00′00″E﻿ / ﻿36.1667°N 28.0000°E;Rhodian victory Colossus of Rhodes is erected;Ares (General);1,300[citation needed];c. 40,000	170 ships[1];5,400[citation needed];c. 7,000[2];Rhodes	Ptolemaic Kingdom	Seleucid Empire
Battle of Ipsus;301 BC;Antigonid dynasty;Antigonus I Monophthalmus	Demetrius I of Macedon;Ipsus, Phrygia38°57′N 30°59′E﻿ / ﻿38.95°N 30.99°ECoordinates: 38°57′N 30°59′E﻿ / ﻿38.95°N 30.99°E;Decisive coalition victory;Lysimachus	Seleucus I Nicator	Cassander	Prepelaus	Pleistarchus (son of Antipater);;70,000 infantry	10,000 cavalry	75 elephants;;64,000 infantry	15,000 cavalry	400 elephants	100 scythed chariots;Lysimachus	Cassander	Seleucid Empire
Battle of Sentinum;295 BC;Roman Republic;Publius Decius Mus (consul 312 BC)	Quintus Fabius Maximus Rullianus;Sentinum (now near Sassoferrato, Marche, Italy);Decisive Roman victory;Egnatius;8,700 killed;ca. 40,000 men	4 legions (18,000-24,000 Romans)	ca. 20,000 allied troops;25,000 killed	8,000 captured;ca. 40,000 men[1];Samnium	Senones
Battle of Yique;293 BC;Qin (state);Bai Qi;Yique, Henan;Decisive Qin victory;Gongsun Xi;7,800 to 8,500;120,000;150,000+;240,000;Wei (state)	Han (state)
Battle of Arretium;284 BC;Senones;Britomaris;Arretium (modern Arezzo), Tuscany, Italy;Senone victory;Lucius Caecilius Metellus Denter;Unknown;Unknown;13,000 killed;Unknown;Roman Republic
Battle of Corupedium;281 BC;Lysimachus;Lysimachus;Near Sardis38°32′47″N 27°37′04″E﻿ / ﻿38.546466°N 27.617792°ECoordinates: 38°32′47″N 27°37′04″E﻿ / ﻿38.546466°N 27.617792°E;Decisive Seleucid victory;Seleucus I Nicator;;;;;Seleucid Empire
Battle of Heraclea;July 280 BC;Epirus (ancient state)	Magna Graecia;Pyrrhus of Epirus;Heraclea, Basilicata, southern Italy;Greek victory;Publius Valerius Laevinus;4,000–11,000 killed;35,500 men	20,000 phalangites	6,000 levy hoplites	3,000 hypaspists	2,000 archers	500 slingers	4,000 cavalry	20 war elephants;7,000–15,000 killed	1,800 captured;45,000 men	20,000 Roman heavy infantry	16,800 Allied heavy infantry	2,400 Allied light infantry	2,400-6000 cavalry[1];Roman Republic
Battle of Asculum;279 BC;Roman Republic	Frentani	Marsi	Marrucini	Paeligni	Daunians	Umbri;Publius Decius Mus (consul 279 BC);Asculum, modern Ascoli Satriano, Apulia, Italy;Greek Pyrrhic Victory [1][2][3][4];Pyrrhus of Epirus;6,000 killed;40,000 men	300 anti-elephant wagons;3,505 killed;40,000 men	19 war elephants;Epirus (ancient state)	Aetolia	Acarnania	Athamanians	Taranto	Bruttians	Lucanians	Samnites
Battle of Lysimachia;277 BC;Antigonid dynasty;Antigonus II Gonatas;Lysimachia, Thracian Chersonese;Antigonid victory;Cerethrius;;;;;Gauls
Battle of Beneventum (275 BC);275 BC;Roman Republic;Manius Curius Dentatus;Beneventum (modern Benevento), Campania, Italy;Tactical outcome disputed (inconclusive or Roman victory)Strategic Roman victory;Pyrrhus of Epirus;9,000 killed;17,000 infantry	1,200 cavalry;11,000 killed	2 elephants killed	8 elephants captured;20,000 infantry	3,000 cavalry	20 elephants;Epirus (ancient state)
Battle of the Aous (274 BC);274 BC;Epirus (ancient state);Pyrrhus of Epirus;near the Aous River;Epirote victory;Antigonus II Gonatas;;;;;Macedonia (ancient kingdom)
Siege of Sparta;Spring 272 BC;Epirus (ancient state);Pyrrhus of Epirus	Ptolemy (son of Pyrrhus);Sparta;Spartan-Macedonian victory;Areus I	Acrotatus II	Ameinias the Phocian;Heavy;27,000 men,	24 elephants;Heavy;2,000 Spartan Youths, Periokoi, and Helots	6,000-7,000 Spartan Women;Sparta	Macedonia (ancient kingdom)
Battle of Argos;272 BCE;Epirus (ancient state)	Macedonia (ancient kingdom)	Aeacidae;Pyrrhus of Epirus;Argos37°37′N 22°43′E﻿ / ﻿37.617°N 22.717°ECoordinates: 37°37′N 22°43′E﻿ / ﻿37.617°N 22.717°E;Decisive Allied victory;Antigonus II Gonatas	Areus I;High	Pyrrhus of Epirus †;total: 27,000	25,000 infantry	2,000 cavalry	24 war elephants;Unknown;unknown	Argives (militia)	Antigonid army	1,000 Cretans and Spartans (Areus);Argos	Macedonia (ancient kingdom)	Antigonid dynasty	Sparta
Battle of Agrigentum;262 BC;Roman Republic;Lucius Postumius Megellus (consul 262 BC)	Quintus Mamilius Vitulus;Agrigentum;Roman victory;Hanno (son of Hannibal)	Hannibal Gisco;15,000–30,540 dead[1]	15,000–30,000 infantry	540 cavalry;40,000–100,000 soldiers and laborers[1];7,200	3,000 infantry killed	200 cavalry killed	4,000 men captured	8 elephants killed	33 elephants wounded	25,000 enslaved;31,500–56,000 men	30,000–50,000 infantry	1,500–6,000 cavalry	30–60 war elephants	Agrigentum garrison;Ancient Carthage
Battle of Cos;261/255 BC;Antigonid dynasty	Macedonia (ancient kingdom);Antigonus II Gonatas;Kos;Macedonian victory;Patroclus (admiral)	Ptolemy II Philadelphus;;;;;Ptolemaic Kingdom
Battle of the Lipara Islands;260 BC;Ancient Carthage;Bodo (hypostrategos)	Hannibal Gisco;Lipara Harbour, Sicily;Carthaginian victory;Gnaeus Cornelius Scipio Asina;None;20 ships;17 ships captured	Scipio captured;17 ships;Roman Republic
Battle of Mylae;260 BC;Roman Republic;Gaius Duilius;Offshore Mylae, northern Sicily;Roman victory;Hannibal Gisco;Unknown;103 ships;44 ships	10,000 men	13 ships sunk	1 septimere captured	30 quinqueremes and triremes captured	7,000 killed	3,000 captured;130 ships[1];Ancient Carthage
Battle of Sulci;258 BC;Roman Republic;Gaius Sulpicius Paterculus;near Sulci, Sardinia;Roman victory;Hannibal Gisco;;;;;Ancient Carthage
Battle of Tyndaris;257 BC;Ancient Rome;Gaius Atilius Regulus;Tindaris (modern Tindari), Sicily;Roman victory;Hamilcar;9 ships sunk;Unknown;18 ships	8 ships sunk	10 ships captured;Unknown;Ancient Carthage
Battle of Cape Ecnomus;256 BC;Roman Republic;Marcus Atilius Regulus (consul 267 BC)	Lucius Manlius Vulso Longus;Off southern SicilyCoordinates: 37°03′00″N 13°54′00″E﻿ / ﻿37.0500°N 13.9000°E;Roman victory;Hamilcar (fortifier of Drepanum)	Hanno the Great;24 ships sunk	10,000 men killed;330 ships	140,000 crew and marines;30 ships sunk	64 ships captured	30,000–40,000 men killed or captured;350 ships	150,000 crew and marines;Ancient Carthage
Battle of Adys;Late 255 BC;Roman Republic;Marcus Atilius Regulus (consul 267 BC);Adys, Carthage (present day Oudna, Tunisia)Coordinates: 36°36′25″N 10°10′25″E﻿ / ﻿36.60694°N 10.17361°E;Roman victory;Hamilcar (fortifier of Drepanum)	Hasdrubal, son of Hanno;Few;15,000 Infantry	500 Cavalry;Unknown;Uncertain	Probably c.16,000 including war elephants;Ancient Carthage
Battle of Tunis;Spring 255 BC;Ancient Carthage;Xanthippus of Carthage;Medjerda River near Tunis;Carthaginian victory;Marcus Atilius Regulus (consul 267 BC);At least 800 killed;16,000	12,000 Infantry	4,000 Cavalry	100 Elephants;13,500	13,000 killed	500 captured;15,500	15,000 Infantry	500 Cavalry;Roman Republic
Battle of Panormus;250 BC;Roman Republic;Lucius Caecilius Metellus (consul 251 BC);Panormus (present-day Palermo)Coordinates: 38°07′N 13°22′E﻿ / ﻿38.117°N 13.367°E;Roman victory;Hasdrubal, son of Hanno;Unknown, but light;2 legions (8,000–10,000 men);Heavy	All elephants captured;30,000	60–142 elephants;Ancient Carthage
Battle of Drepana;249 BC;Ancient Carthage;Adherbal (admiral);Off Drepana (modern Trapani), SicilyCoordinates: 38°00′36″N 12°30′18″E﻿ / ﻿38.01000°N 12.50500°E;Carthaginian victory;Publius Claudius Pulcher (consul 249 BC);None recorded;100–130 ships;93 ships captured	An unknown number of ships sunk	20,000 men killed or captured;At least 123 ships;Roman Republic
Battle of Andros (246 BC);246/245 BC;Antigonid dynasty	Macedonia (ancient kingdom);Antigonus II Gonatas;Andros;Antigonid victory;Sophron of Ephesus	Ptolemy Andromachou;;numerically inferior;;numerically superior;Ptolemaic Kingdom
Battle of the Aegates Islands;10 March 241 BC;Roman Republic;Gaius Lutatius Catulus	Quintus Valerius Falto;Aegates Islands, western SicilyCoordinates: 37°58′12″N 12°12′00″E﻿ / ﻿37.9700°N 12.2000°E;Decisive Roman victoryTreaty of Lutatius;Hanno (son of Hannibal);30 quinqueremes sunk	50 quinqueremes damaged;c. 200 quinqueremes;120 quinqueremes	50 sunk	70 captured	10,000 men captured;c. 250 quinqueremes;Ancient Carthage
Battle of Telamon;225 BC;Roman Republic;Gaius Atilius Regulus	Wikimedia Error;Campo Regio, near Telamon (modern Talamone in Tuscany);Decisive Roman victory[1];Wikimedia Error	Aneroëstes;6,000 killed[1];101,600 infantry,	6,400 cavalry[2];40,000 killed,	10,000 captured[4];50,000 infantry,	20,000 cavalry[3];Celts
Battle of Clastidium;222 BC;Wikimedia Error;Marcus Claudius Marcellus;Clastidium, in the territory of Marici tribe, Cisalpine Gaul Modern Casteggio, Italy;Roman victory;Wikimedia Error;light;3,200 equites, 600 legionaries (not engaged);very heavy;10,000 Gaesatae infantry and cavalry;Gauls
Battle of the Ticinus;Late November 218 BC;Ancient Carthage;Hannibal;Right bank of lower Ticino River, present-day Italy45°15′0″N 8°52′0″E﻿ / ﻿45.25000°N 8.86667°ECoordinates: 45°15′0″N 8°52′0″E﻿ / ﻿45.25000°N 8.86667°E;Carthaginian victory;Publius Cornelius Scipio (consul 218 BC);Minimal;6,000 cavalry;2,300;3,100 cavalry	7,200 velites;Roman Republic
